title,title_name,make,modelname,modelnameq,modelno,modelnoq
"H125 with MPVK","Eurocopter AS 350B3e Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B3e"
"Best MI-2 Aviabel","Mil MI-2",Mil,NULL,NULL,MI-2,NULL
"Complete DC 8-62 Aircraft for spares","McDonnell Douglas DC-8","McDonnell Douglas",NULL,NULL,DC-8,NULL
"Garmin 530W",Gemini,Gemini,NULL,NULL,NULL,NULL
"1943 FW C-3605 For Sale","Farner-Werke FW C-3605",Farner-Werke,NULL,NULL,"FW C-3605",NULL
"2010 Boeing Aircraft for Sale Boeing 737 Aircraft for Sale","Boeing 737",Boeing,NULL,NULL,737,NULL
"2010 Let Aircraft for Sale Let L-410 Aircraft for Sale","Let L-410",Let,NULL,NULL,L-410,NULL
"GTN-750 GPS","No make","No make",NULL,NULL,NULL,NULL
"1998 Cessna 182S","Cessna 182S Skylane",Cessna,Skylane,NULL,182,182S
NULL,"Robinson R-44 Raven II",Robinson,Raven,NULL,R-44,NULL
"We are direct providers of Fresh Cut BG, SBLC and MTN","No make","No make",NULL,NULL,NULL,NULL
"Ambulance Helicopter","Eurocopter Bo 105-CB4",Eurocopter,NULL,NULL,"Bo 105","Bo 105-CB4"
NULL,"Agusta A109A II",Agusta,NULL,NULL,A109,"A109A II"
"2010 Robinson R44 Raven I","Robinson R-44 Raven",Robinson,Raven,NULL,R-44,NULL
"•	17 Max Passengers or Equivalent Cargo","Bell 214ST",Bell,NULL,NULL,214,214ST
"Garmin G1000","Diamond Aircraft","Diamond Aircraft",NULL,NULL,NULL,NULL
"Tl-Sting S4 Rg 2011 Perfect negtiable due to lost medical","TL-Ultralight Sting RG",TL-Ultralight,Sting,NULL,NULL,NULL
"GARMIN GNS530W TAGGED WITH 8130","No make","No make",NULL,NULL,NULL,NULL
"Garmin G600","No make","No make",NULL,NULL,NULL,NULL
CTSW,"Flight Design CTsw","Flight Design",CT,NULL,NULL,NULL
"Beautiful Swift simulation of a P-40 Warhawk. O-300-A Continental. Flies regularly in excellent condition","Globe GC-1 Swift",Globe,Swift,NULL,GC-1,NULL
"Garmin GTN 650","No make","No make",NULL,NULL,NULL,NULL
"Kitfox speedster 4","US Light Aircraft Kitfox speedster 4","US Light Aircraft",NULL,NULL,NULL,NULL
NULL,"Hughes 269C",Hughes,NULL,NULL,269,269C
"M-Squared Breese XL","M-Squared Breeze",M-Squared,Breeze,NULL,NULL,NULL
"M-Squared Breese 2","M-Squared Breeze II",M-Squared,Breeze,NULL,NULL,NULL
"aerial survey","Vulcanair P68C",Vulcanair,NULL,NULL,P68,P68C
"2004 CESSNA 172SP SkyHawk - Just overhauled","Cessna 172S Skyhawk SP",Cessna,Skyhawk,NULL,172,172S
"Price Reduced","Robinson R-44",Robinson,NULL,NULL,NULL,NULL
"aerial survey DUAL HATCH-GEOPHYC","Cessna 208B Grand Caravan",Cessna,Caravan,NULL,208,208B
"1999 EC135P2+ helicopter for Sale","Eurocopter EC 135P2+",Eurocopter,NULL,NULL,"EC 135","EC 135P2+"
"for sale","Aerocopter AK1-3",Aerocopter,NULL,NULL,AK1-3,NULL
"We are Hiring Simple Copy paste job-Sonu","No make","No make",NULL,NULL,NULL,NULL
"Pipistrel Virus of the year 2002","No make","No make",NULL,NULL,NULL,NULL
NULL,"Cessna Citation",Cessna,Citation,NULL,NULL,NULL
"ROTAX 912 100HP FOR SALE","Aeroprakt A-20",Aeroprakt,NULL,NULL,NULL,NULL
"1984 G-III For Sale","Gulfstream GIII",Gulfstream,NULL,NULL,GIII,NULL
"1979 Bell 212 for Sale","Bell 212",Bell,NULL,NULL,212,NULL
"A320 YOM 2019 Available for immediate delivery","Airbus A320",Airbus,NULL,NULL,A320,NULL
"1986 Eurocopter AS350 B-2 for sale","Eurocopter AS 350B2 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B2"
"Airframe TSN900 Engine TSN370, NDH","MD Helicopters 520N","MD Helicopters",NULL,NULL,MD-520,MD-520N
"E-170-200 LR","Embraer ERJ-170",Embraer,NULL,NULL,ERJ-170,NULL
NULL,"Robinson R-44",Robinson,NULL,NULL,R-44,NULL
NULL,"Antonov An-12 Cub",Antonov,Cub,NULL,An-12,NULL
"Swearingen SX300","Sino-Swearingen SX300",Sino-Swearingen,NULL,NULL,SX300,NULL
A321-211,"Airbus A321-211",Airbus,NULL,NULL,A321,A321-211
"SN 11006","Robinson Raven II",Robinson,Raven,NULL,R-44,NULL
"NEW Rotax 915 iS engine!!!","Pipistrel Sinus",Pipistrel,NULL,NULL,NULL,NULL
"A320-200 CEO Bran New for sale immediate","No make","No make",NULL,NULL,NULL,NULL
"test listing","Aerial Arts 110SX","Aerial Arts",NULL,NULL,110SX,NULL
"test listing","Adventure S.A. A3","Adventure S.A.",NULL,NULL,NULL,NULL
"test listing","Adams Wilson AW/95","Adams Wilson",NULL,NULL,AW/95,NULL
"Very Rare Civilain SA 342 J","Eurocopter SA 342J Gazelle",Eurocopter,Gazelle,NULL,"SA 341","SA 342J"
"Airframe TSN 940, Engine TSN 430. NDH","McDonnell Douglas MD-520N","MD Helicopters",NULL,NULL,MD-520,MD-520N
"1962  Aerospatiale Alouette 2 313B","Eurocopter SA 313B Alouette II",Eurocopter,Alouette,NULL,"SA 313","SA 313B"
NULL,"Cessna 525 Citation CJ1",Cessna,Citation,NULL,NULL,525
"Brand New Rotax 912 for sale","Aeroprakt A-20",Aeroprakt,NULL,NULL,NULL,NULL
"New to Market - 2015 Gulfstream G650","Gulfstream G650",Gulfstream,NULL,NULL,G650,NULL
NULL,"RotorWay 162F",RotorWay,NULL,NULL,162,162F
NULL,"Yakovlev YAK-42D",Yakovlev,NULL,NULL,YAK-42,YAK-42D
"2004 Agusta AW119 KOALA","Agusta A119 Koala",Agusta,Koala,NULL,A119,NULL
"2004 ENSTROM 280FX SHARK","Enstrom F-280FX Shark",Enstrom,Shark,NULL,F-280,F-280FX
"2011 ROBINSON R44 RAVEN II","Robinson R-44",Robinson,NULL,NULL,R-44,NULL
"COMMANDER 114B. PERFECT vat paid","Commander 114B",Commander,NULL,NULL,114,114B
"2011 ROBINSON R44 RAVEN II","Robinson R-44",Robinson,NULL,NULL,R-44,NULL
NULL,"PZL/Warszawa-Okecie 104 Wilga 80",PZL/Warszawa-Okecie,Wilga,NULL,104,NULL
"Project AS350 B3e","Eurocopter AS 350B3e Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B3e"
"2010 Eurocopter EC 155B-1 for sale","Eurocopter EC 155B1",Eurocopter,NULL,NULL,"EC 155","EC 155B1"
"Lycoming powered SLSA","Corvus Aircraft Phantom","Corvus Aircraft",Phantom,NULL,NULL,NULL
NULL,"Eurocopter AS 350 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350",NULL
"2015 Eurocopter AS 350 B-2 for Sale","Eurocopter AS 350B2 Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350B2"
"NEW Rotax 912ULS2 100HP 2013 Engine FOR SALE","Aeroprakt A-20",Aeroprakt,NULL,NULL,NULL,NULL
NULL,"Robinson R-44",Robinson,NULL,NULL,R-44,NULL
"Tamarack Cargo, ADS-B Compliant, Service Center Maint, Low TTAF!","Cirrus SR-22",Cirrus,NULL,NULL,SR-22,NULL
"Looking To Sell Aircraft? Donate To Charity For Tax Deduction!","No make","No make",NULL,NULL,NULL,NULL
"Don't Stress With Selling, Donate Aircraft To Charity!","No make","No make",NULL,NULL,NULL,NULL
"Off Market Opportunity. Exceptionally Low Hours. Dual Controls, Single Pilot IFR Avionics Package.","Agusta AW109SP Grand New",Agusta,Grand,NULL,A109,AW109SP
"ADS-B, TCAS 7.1, N-reg, RR CorporateCare and EEC Enhanced, WiFi, Dual Lav, Recessed Floor, 2019 P&I","Embraer Legacy 600",Embraer,Legacy,NULL,NULL,NULL
"Aircraft for museum","No make","No make",NULL,NULL,NULL,NULL
"K170b Kl209 Kn75","No make","No make",NULL,NULL,NULL,NULL
"IFR Cessna 172 Flown Regularly","Cessna 172F",Cessna,NULL,NULL,172,172F
"1975 Sikorsky S-61N for Sale","Sikorsky S-61N",Sikorsky,NULL,NULL,61,S-61N
"Helicopter 300CB","Schweizer 269C-1",Schweizer,NULL,NULL,269,269C-1
"Fun Single Seat Seaplane in Florida","Advanced Aviation Buccaneer XA","Advanced Aviation","Buccaneer XA",NULL,NULL,NULL
"2006 Eurocopter AS365N3 for Sale","Eurocopter AS 365N3 Dauphin II",Eurocopter,Dauphin,NULL,"AS 365","AS 365N3"
"FIESELER STORCH FI-156 (REPLICA)","Fieseler Fi 156 Storch",Fieseler,Storch,NULL,"Fi 156",NULL
SOLD!,"Piper PA-32-301FT 6X",Piper,Saratoga,NULL,PA-32,PA-32-301FT
"EADS SOCATA TB 21 "Turbo Trinidad GT"","Socata Trinidad TC GT",Socata,Trinidad,NULL,TB-20,TB-21
SOLD!,"Piper PA-28-181 Archer III",Piper,Archer,NULL,PA-28,PA-28-181
"*SALE PENDING* Low time with outstanding cosmetics and avionics!","Cessna 182R Skylane",Cessna,Skylane,NULL,182,182R
"*SOLD!* Very low time straight tail Lance!","Piper Lance",Piper,Lance,NULL,PA-32,PA-32R-300
"Selling  Lycoming O-235-L2C - Engine","Alliant Aviation APCO 500 Chute","Alliant Aviation",NULL,NULL,NULL,NULL
NULL,"Let L-410",Let,NULL,NULL,L-410,NULL
NULL,"Embraer Legacy 600",Embraer,Legacy,NULL,NULL,NULL
"Bell 206B3 with floats","Bell 206B3 JetRanger III",Bell,JetRanger,NULL,206,206B3
"For Sale Garmin GTN 725 GPS Receiver","Avid Aircraft","Avid Aircraft",NULL,NULL,NULL,NULL
"Offered Exclusively for Sale","McDonnell Douglas MD-500E","McDonnell Douglas",NULL,NULL,MD-500,MD-500E
"Offered Exclusively for Sale","McDonnell Douglas MD-600N","MD Helicopters",NULL,NULL,MD-600,MD-600N
"Aircraft for Museum","No make","No make",NULL,NULL,NULL,NULL
"Garmin GTN650 GPS","No make","No make",NULL,NULL,NULL,NULL
"Just out of heavy major inspection","Britten Norman BN2A-6","Britten Norman",Islander,NULL,BN2,BN2A-6
"Boeing Stearman PT-13D/N2S-5","Stearman PT-13D",Stearman,NULL,NULL,PT-13,PT-13D
"Hawker Fury FB MK11","Hawker Siddeley Fury","Hawker Siddeley",Fury,NULL,NULL,NULL
"Garmin GNS 530W",Avion,Avion,NULL,NULL,NULL,NULL
"For sale","Commander 114",Commander,NULL,NULL,114,NULL
"Lancair 320 O-320-D1F 160 HP  185 knt Cruise -  Constant Speed Prop - Only 73 Hours Since All New - Pristine Condition","Lancair 320-160",Lancair,NULL,NULL,320,320-160
"Fresh out of 12 year","Eurocopter EC 120B Colibri",Eurocopter,Colibri,NULL,"EC 120","EC 120B"
"1979 Boeing 737-200 Advanced","Boeing 737-200A",Boeing,NULL,NULL,737,737-200A
"UNIQUE  Potez 63-11","Potez Aircraft","Potez Aircraft",NULL,NULL,NULL,NULL
NULL,"Beech 350 King Air",Beech,"King Air",NULL,350,NULL
"Outstanding self-launcher with all premium features","Schleicher ASG 32 Mi",Schleicher,NULL,NULL,NULL,NULL
"Eigenstartfähiges Doppelsitzer mit einer umfangreichen Sonderausstattung","Schleicher ASG 32 Mi",Schleicher,NULL,NULL,NULL,NULL
NULL,"Mil MI-2",Mil,NULL,NULL,MI-2,NULL
"Dassault Falcon 7X","Dassault 7X Falcon",Dassault,Falcon,NULL,7X,NULL
"PA 18-150 Super Cub","Piper PA-18-150 Super Cub",Piper,Cub,NULL,PA-18,PA-18-150
"1550+ Hours TT Airframe/Engines","Piper PA-34-200T Seneca",Piper,Seneca,NULL,PA-34,PA-34-200T
NULL,"Cessna Citation Mustang",Cessna,Citation,NULL,NULL,NULL
NULL,"ATR 42-500",ATR,NULL,NULL,42,42-500
"1984 and 1982 Diamond IA aircraft for sale","Diamond Aircraft 100","Diamond Aircraft",NULL,NULL,100,NULL
"Motivated Seller","Beech 1900D Airliner",Beech,Airliner,NULL,1900,1900D
"Motivated Seller","Beech 1900D Airliner",Beech,Airliner,NULL,1900,1900D
"1996 Bell 407 for Sale","Bell 407",Bell,NULL,NULL,407,NULL
"18 x Pilatus PC-9/A","Pilatus PC-9A",Pilatus,NULL,NULL,PC-9A,NULL
"1974 Bell 205A-1++ for Sale","Bell 205A-I Iroquois (Huey)",Bell,"Iroquois (Huey)",NULL,205,205A-I
"1986 Bell 412HP for Sale",Bell,Bell,NULL,NULL,NULL,NULL
"2002 Sikorsky S-76C+ for Sale","Sikorsky S-76C+",Sikorsky,NULL,NULL,S-76,S-76C+
"2004 Sikorsky S-76C+ for Sale","Sikorsky S-76C+",Sikorsky,NULL,NULL,S-76,S-76C+
"2008 Sikorsky S-76C++ for Sale","Sikorsky S-76C++",Sikorsky,NULL,NULL,S-76,S-76C++
"2008 Sikorsky S-76C++ for Sale","Sikorsky S-76C++",Sikorsky,NULL,NULL,S-76,S-76C++
NULL,"Mil MI-171",Mil,NULL,NULL,MI-171,NULL
"2012 Eurocopter EC225LP for Sale","Eurocopter EC 225LP Super Puma",Eurocopter,Puma,NULL,"EC 225","EC 225LP"
"Alpine Limousine Service, Inc.","No make","No make",NULL,NULL,NULL,NULL
"New H 145 Ferry time only","Eurocopter EC 145",Eurocopter,NULL,NULL,"EC 145",NULL
NULL,"Embraer EMB-500 Phenom 100",Embraer,Phenom,NULL,EMB-500,NULL
"Waco VKS-7","Waco VKS-7",Waco,NULL,NULL,VKS-7,NULL
"STAMPE SV 4A","Stampe SV-4",Stampe,NULL,NULL,SV-4,NULL
"EC130B4 with fresh 12 year inspection","Eurocopter EC 130-B4",Eurocopter,NULL,NULL,"EC 130","EC 130-B4"
"2002 Boeing 777-200ER for immediate sale","Boeing 777-200ER",Boeing,NULL,NULL,777,777-200ER
"2013 Boeing 787-8 aircraft for sale","Boeing 787",Boeing,NULL,NULL,787,NULL
"1981 Cessna 180K Skywagon II","Cessna 180K Skywagon II",Cessna,Skywagon,NULL,180,180K
"CCA&F Harvard IV","North American T-6 Harvard MK4","North American",Harvard,NULL,T-6,NULL
"Nice Fuji-FA-200-180","Fuji FA-200-180",Fuji,NULL,NULL,FA-200,FA-200-180
NULL,"PZL/Warszawa-Okecie 104 Wilga 35",PZL/Warszawa-Okecie,Wilga,NULL,104,NULL
NULL,"Eurocopter EC 120B Colibri",Eurocopter,Colibri,NULL,"EC 120","EC 120B"
NULL,"Robinson R-44",Robinson,NULL,NULL,R-44,NULL
"Transponder Trig TT31 , Brand new","Aircraft Designs Inc. Stallion","Aircraft Designs Inc.",NULL,NULL,NULL,NULL
NULL,"Cessna 172 Skyhawk",Cessna,Skyhawk,NULL,172,NULL
"low time Husky in perfect condition","Aviat Aircraft Inc. A-1B Husky","Aviat Aircraft Inc.",Husky,NULL,A-1,A-1B
Aerobatic,"Slingsby T-67M260",Slingsby,NULL,NULL,T-67,T-67M260
"Mooney Eagle M20S","Mooney M20S Eagle",Mooney,Eagle,NULL,M20,M20S
"Bohrer & Lukeman","No make","No make",NULL,NULL,NULL,NULL
NULL,3I,3I,NULL,NULL,NULL,NULL
"not "R44", but  only "DART EMERGENCY FLOAT SYSTEM "","Robinson R-44",Robinson,NULL,NULL,R-44,NULL
"Very Rare YPT-14","Waco UPF-7/PT-14",Waco,NULL,NULL,UPF-7,UPF-7/PT-14
"2013 Robinson R66 w/AC w/Apical PopOuts","Robinson R-66",Robinson,NULL,NULL,R-66,NULL
NULL,"Enstrom F-280FX",Enstrom,NULL,NULL,F-280,F-280FX
DC-3C,"McDonnell Douglas DC-3C","McDonnell Douglas",NULL,NULL,DC-3,DC-3C
NULL,"Dassault 900LX Falcon",Dassault,Falcon,NULL,900,900LX
NULL,"Beech 36 Bonanza",Beech,Bonanza,NULL,NULL,36
"Cessna 421C Golden Eagle","Cessna 421C Golden Eagle",Cessna,"Golden Eagle",NULL,421,421C
"BELL UH","Bell 205 Iroquois (Huey)",Bell,"Iroquois (Huey)",NULL,205,NULL
"Garmin GNS 530W with Rack, Install Kit, Nav & Terrain Cards, Sky Bound, 8130","No make","No make",NULL,NULL,NULL,NULL
"Dassault Falcon 2000","Dassault 2000 Falcon",Dassault,Falcon,NULL,2000,NULL
"2001 Beechcraft King Air 350","Beech 350 King Air",Beech,"King Air",NULL,350,NULL
"Bombardier Challenger 601-3A","Bombardier CL-601-3A Challenger 601",Bombardier,Challenger,NULL,CL-601,CL-601-3A
"A321-233 for sale","Airbus A321-231",Airbus,NULL,NULL,A321,A321-231
NULL,"Agusta A119 Koala",Agusta,Koala,NULL,A119,NULL
NULL,"Airbus H130",Airbus,NULL,NULL,H130,NULL
"1960 210 MAKE OFFER","Cessna 210A Centurion",Cessna,Centurion,NULL,210,210A
"Rotax 912 UL 100 hp engine, Perfect condition","No make","No make",NULL,NULL,NULL,NULL
NULL,"Robinson R-44",Robinson,NULL,NULL,R-44,NULL
"Immediate Offers as a package or major components","Embraer EMB-120ER Brasilia",Embraer,Brasilia,NULL,EMB-120,EMB-120ER
"Immediatte Offers Sought","Embraer EMB-120ER Brasilia",Embraer,Brasilia,NULL,EMB-120,EMB-120ER
"Expressions of Interest Closing 13th March (USP)","Eurocopter EC 120B Colibri",Eurocopter,Colibri,NULL,"EC 120","EC 120B"
"Rockwell Commander 112","Rockwell Commander 112",Rockwell,NULL,NULL,NULL,NULL
"Cessna 182P with STOL Kit","Cessna 182P Skylane",Cessna,Skylane,NULL,182,182P
NULL,"Eagle R&D Helicycle","Eagle R&D",Helicycle,NULL,NULL,NULL
"2003 Boeing BBJ2 B737-800 for sale","Boeing 737-800 BBJ2",Boeing,BBJ,NULL,737,737-800
"Murphy Renegade II for sale","Murphy Aircraft Renegade II","Murphy Aircraft",Renegade,NULL,NULL,NULL
"Bankruptcy Auction - 1963 Mooney M20C","Mooney M20C",Mooney,NULL,NULL,M20,M20C
"Bankruptcy Auction","Mooney M20C",Mooney,NULL,NULL,M20,M20C
"Vultee BT-13 A For Sale in United States","Vultee BT-13A",Vultee,NULL,NULL,BT-13,BT-13A
"VIP BESPOKE AW109SP GRAND NEW","Agusta AW109SP Grand New",Agusta,Grand,NULL,A109,AW109SP
"test listing please ignore",Briegleb,Briegleb,NULL,NULL,NULL,NULL
"test listing please ignore",CZAW,CZAW,NULL,NULL,NULL,NULL
NULL,"Diamond Aircraft DA40XL","Diamond Aircraft",Star,NULL,DA40,DA40XL
NULL,"Sikorsky S-76C++",Sikorsky,NULL,NULL,S-76,S-76C++
"Wonderful Pitts Model 12","Pitts Model 12",Pitts,NULL,NULL,"Model 12",NULL
"Wonderful Pitts Model 12","Pitts Model 12",Pitts,NULL,NULL,"Model 12",NULL
"Garmin GTN 650  GPS NAV/COM","No make","No make",NULL,NULL,NULL,NULL
"Bell 407 Utility","Bell 407",Bell,NULL,NULL,407,NULL
"Bell 407 Utility","Bell 407",Bell,NULL,NULL,407,NULL
"Test Listing please ignore","Aero Boero","Aero Boero",NULL,NULL,NULL,NULL
NULL,"Bombardier Global 6000",Bombardier,"Global 6000",NULL,NULL,NULL
"Aviat Husky A-1C-200","Aviat Aircraft Inc. A-1C Husky","Aviat Aircraft Inc.",Husky,NULL,A-1,A-1C
"Aviat Husky A-1B","Aviat Aircraft Inc. A-1B Husky","Aviat Aircraft Inc.",Husky,NULL,A-1,A-1B
"2006 Robinson R44 Raven II w/AC (OH'd 2018)","Robinson R-44 Raven II",Robinson,Raven,NULL,R-44,NULL
NULL,"Yakovlev YAK-12",Yakovlev,NULL,NULL,YAK-12,NULL
"GARMIN GNS 530W GPS/NAV/COMM 14/28 VDC P/N 011-01064-00 WITH FAA 8130-3","No make","No make",NULL,NULL,NULL,NULL
"2001 Learjet 45","Learjet 45",Learjet,NULL,NULL,45,NULL
"aerial survey","Aero Commander 690C Jetprop 840","Aero Commander",Jetprop,NULL,690,690C
"aerial survey","Cessna T206H Turbo Stationair",Cessna,Stationair,NULL,206,T206H
NULL,3I,3I,NULL,NULL,NULL,NULL
"TWO CFM56- 5B3 Engines for sale.","No make","No make",NULL,NULL,NULL,NULL
"2019 - 2018 Airbus A320 -214 CEO aircraft for sale.","Airbus A320-214",Airbus,NULL,NULL,A320,A320-214
"Available for 3 to 6 Months  Lease Brand New Engine CF34-10E6A1 ESN 424888 based in Cairo International Airport. for More details please Contact : Mohamed.gamal@ciafleasing.com                                                         Waguiht@ciafleasing.co","Embraer ERJ-190",Embraer,NULL,NULL,ERJ-190,NULL
"Piper Seneca II, new engines, new interior","Piper PA-34 Seneca II",Piper,Seneca,NULL,PA-34,NULL
NULL,"Beech 58",Beech,Baron,NULL,NULL,58
"GARMIN GNS 530W","Avion B2M",Avion,NULL,NULL,NULL,NULL
"2008 GULFSTREAM 450","Gulfstream G450",Gulfstream,NULL,NULL,G450,NULL
"MAJOR PRICE REDUCTION OF $26000 Motivated Seller FLY or DRIVE to YOUR 93 ACRE MOUNTAIN TOP RETREAT","No make","No make",NULL,NULL,NULL,NULL
"1983 Bell 206 L3 for Sale or Lease","Bell 206L3 LongRanger III",Bell,LongRanger,NULL,206,206L3
"1942  Vultee BT-13 Valiant","Vultee BT-13B Valiant",Vultee,Valiant,NULL,BT-13,BT-13B
"Garmin GNS 530W  With Tray, Antenna And 8130-3","General Avia Jet-Squalus","General Avia",NULL,NULL,NULL,NULL
"No Objection Certificate (NOC) for Height Clearance","No make","No make",NULL,NULL,NULL,NULL
"1998 Bell 407 for Lease","Bell 407",Bell,NULL,NULL,407,NULL
"8 day clock Waltham",Wittman,Wittman,NULL,NULL,NULL,NULL
"Winter cover for ercoupe","Engineering & Research Corp. 415-C/D","Engineering & Research Corp.",NULL,NULL,NULL,NULL
"Fuel selector","Cessna 172",Cessna,NULL,NULL,NULL,NULL
Intercom,Intracom,Intracom,NULL,NULL,NULL,NULL
"1999 Three Airbus A320-200 aircraft for sale.","Airbus A320-232",Airbus,NULL,NULL,A320,A320-232
"Nose loader B747-400F, fresh from C check","Boeing 747-400F",Boeing,NULL,NULL,747,747-400F
NULL,"Eurocopter AS 350BA Ecureuil",Eurocopter,Ecureuil,NULL,"AS 350","AS 350BA"
NULL,"Eurocopter AS 365N2 Dauphin II",Eurocopter,Dauphin,NULL,"AS 365","AS 365N2"
"test listing please ignore",AIDC,AIDC,NULL,NULL,NULL,NULL
"Youngest, Best Equipped Sovereign+ available","Cessna 680 Citation Sovereign",Cessna,Citation,NULL,NULL,680
"Fully programmed, best equipped, most elegant 601-3R available!","Bombardier CL-601-3R Challenger 601",Bombardier,Challenger,NULL,CL-601,CL-601-3R
efefefef,"Aeriane Swift Motor-Glider",Aeriane,Swift,NULL,NULL,NULL
"B737-400F YOM 1992 & 1993 Is much available for sales and lease purchase","Boeing 737-400F",Boeing,NULL,NULL,737,737-400F
NULL,"Schweizer 300CBi",Schweizer,NULL,NULL,300,300CBi
"New turbo charged rotax 915 iS engine - 140HP","Rotec Engineering","Rotec Engineering",NULL,NULL,NULL,NULL
"special missions-aerial survey","Britten Norman Defender","Britten Norman",Islander,NULL,NULL,NULL
"P92 Bravo","Tecnam Bravo",Tecnam,Bravo,NULL,NULL,NULL
MD530FF,"McDonnell Douglas MD-530F","MD Helicopters",NULL,NULL,MD-530,MD-530F
EMB170-100,"Embraer ERJ-170-100",Embraer,NULL,NULL,ERJ-170,ERJ-170-100
"Robin DR 401 - 155 CDI","Robin DR 400-140B",Robin,NULL,NULL,"DR 400","DR 400-140B"
"Bing 64 Carburators","No make","No make",NULL,NULL,NULL,NULL
"2017 BELL 407 GXP for sale by owner","Bell 407",Bell,NULL,NULL,407,NULL
"Robin DR 401 - 155 CDI","Robin DR 400-140B",Robin,NULL,NULL,"DR 400","DR 400-140B"
"VIP Sikorsky S-76C+ for Sale","Sikorsky S-76C+",Sikorsky,NULL,NULL,S-76,S-76C+
"R44 floats","Robinson Clipper II",Robinson,NULL,NULL,NULL,NULL
"1995 Boeing 737-500 Executive aircraft for sale","Boeing 737-500",Boeing,NULL,NULL,737,737-500
"Garmin GTN 750","No make","No make",NULL,NULL,NULL,NULL
NULL,"Cessna 525A Citation CJ2",Cessna,Citation,NULL,NULL,525A
NULL,"Yakovlev YAK-52",Yakovlev,NULL,NULL,YAK-52,NULL
"-34 Powered DHC-6-300 Workhorse","de Havilland DHC-6-300","de Havilland",Otter,NULL,DHC-6,DHC-6-300
"2011 Robinson R22 Beta II (OH'd 2017)","Robinson R-22 Beta II",Robinson,Beta,NULL,R-22,NULL
"1987 BO-105 CBS-4 for sale in Germany","Eurocopter Bo 105-CBS4",Eurocopter,NULL,NULL,"Bo 105","Bo 105-CBS4"
"2001 Bell 407 for Sale","Bell 407",Bell,NULL,NULL,407,NULL
"Factory New Airbus A330-300 aircraft for sale.","Airbus A330-300",Airbus,NULL,NULL,A330,A330-300
NULL,"Cessna 182T",Cessna,Skylane,NULL,182,182T
"2014 Cessna 172S Skyhawk SP","Cessna 172S",Cessna,NULL,NULL,172,172S
"2014 Cessna 172S Skyhawk SP","Cessna 172S",Cessna,NULL,NULL,172,172S
NULL,"Cirrus SR-22G2 GTS",Cirrus,NULL,NULL,SR-22,"SR-22G2 GTS"
"2006 Bell 412EP for Sale or Lease","Bell 412EP",Bell,NULL,NULL,412,412EP
"sale only, very good condition, ready for delivery","Embraer ERJ-145LR",Embraer,NULL,NULL,ERJ-145,ERJ-145LR
NULL,"Agusta AW139",Agusta,NULL,NULL,A139,AW139
"182T Skylane","Cessna 182T",Cessna,Skylane,NULL,182,182T
Skylane,"Cessna 182T",Cessna,Skylane,NULL,182,182T
NULL,"Cirrus SR-22G2 GTS",Cirrus,NULL,NULL,SR-22,"SR-22G2 GTS"
NULL,"Cessna 182T",Cessna,Skylane,NULL,182,182T
"CFM56-3C1 Engines for sale","Boeing 737-300F-3C1",Boeing,NULL,NULL,NULL,NULL
"2019 Airbus A350-900 Aircraft for sale","Airbus A350-900",Airbus,NULL,NULL,A350,A350-900
"2012 Agusta AW139 for Sale","Agusta AW139",Agusta,NULL,NULL,A139,AW139
"sale only, very good condition, ready for delivery","Boeing 737-400F",Boeing,NULL,NULL,737,737-400F
NULL,"Cessna 182R",Cessna,Skylane,NULL,182,182R
B777-200,"Boeing 777-200",Boeing,NULL,NULL,777,777-200
"Fresh Engine & Interior","Cessna 182RG",Cessna,Skylane,NULL,182,R182
NULL,"Socata TBM 930",Socata,NULL,NULL,NULL,NULL
NULL,"Cessna 510 Citation Mustang",Cessna,Citation,NULL,NULL,510
B767-300F,"Boeing 767-300BDSF",Boeing,NULL,NULL,767,767-300BDSF
"1982 Bell 206 L3 LongRanger","Bell 206L3 LongRanger III",Bell,LongRanger,NULL,206,206L3
"1975 Cessna Citation","Cessna Citation",Cessna,Citation,NULL,NULL,NULL
NULL,"Aero Ltd.","Aero Ltd.",NULL,NULL,NULL,NULL
NULL,"Flight Design CTsw","Flight Design",CT,NULL,NULL,NULL
NULL,"Beech B200 King Air",Beech,"King Air",NULL,200,B200
NULL,"Cessna 500 Citation",Cessna,Citation,NULL,NULL,500
NULL,"Antonov An-26 Curl",Antonov,Curl,NULL,An-26,NULL
NULL,"Loehle 5151 Mustang",Loehle,Mustang,NULL,5151,NULL
NULL,"Bell 407",Bell,NULL,NULL,407,NULL
NULL,"Antonov An-2 Colt",Antonov,Colt,NULL,An-2,NULL
NULL,"Bombardier CL-601 Challenger 600",Bombardier,Challenger,NULL,CL-601,NULL
NULL,"Piper PA-18 Super Cub",Piper,Cub,NULL,PA-18,NULL
NULL,"Beech G36 Bonanza",Beech,Bonanza,NULL,NULL,G36
"Dassault Falcon 50","Dassault 50 Falcon",Dassault,Falcon,NULL,50,NULL
"Test Listing","Aerospool Dynamic",Aerospool,Dynamic,NULL,NULL,NULL
